year,body_type,n_registered,n_ulevs_registered
2011,Cars,167764,100
2011,Motorcycles And Tricycles,4845,11
2011,Light Goods Vehicles,19577,30
2011,Heavy Goods Vehicles,2774,0
2011,Buses And Coaches,796,0
2012,Cars,182525,153
2012,Motorcycles And Tricycles,5246,4
2012,Light Goods Vehicles,17707,55
2012,Heavy Goods Vehicles,3168,0
2012,Buses And Coaches,822,0
2013,Cars,205216,196
2013,Motorcycles And Tricycles,5349,0
2013,Light Goods Vehicles,20151,12
2013,Heavy Goods Vehicles,3821,0
2013,Buses And Coaches,999,1
2014,Cars,222414,838
2014,Motorcycles And Tricycles,6110,4
2014,Light Goods Vehicles,23363,47
2014,Heavy Goods Vehicles,3209,0
2014,Buses And Coaches,872,7
2015,Cars,221807,1317
2015,Motorcycles And Tricycles,6355,5
2015,Light Goods Vehicles,28307,70
2015,Heavy Goods Vehicles,3767,0
2015,Buses And Coaches,898,6
2016,Cars,222109,1437
2016,Motorcycles And Tricycles,6946,11
2016,Light Goods Vehicles,29382,70
2016,Heavy Goods Vehicles,4894,2
2016,Buses And Coaches,877,0
2017,Cars,204024,2437
2017,Motorcycles And Tricycles,6277,21
2017,Light Goods Vehicles,28385,74
2017,Heavy Goods Vehicles,4240,0
2017,Buses And Coaches,703,6
2018,Cars,187510,3390
2018,Motorcycles And Tricycles,6386,29
2018,Light Goods Vehicles,28126,83
2018,Heavy Goods Vehicles,4098,0
2018,Buses And Coaches,702,1
2019,Cars,177746,4705
2019,Motorcycles And Tricycles,6546,61
2019,Light Goods Vehicles,25225,203
2019,Heavy Goods Vehicles,3940,2
2019,Buses And Coaches,711,3
